Attraction,Description,Country,Continent
Hector Pieterson Museum,"This powerful museum, named after the 12-year-old boy shot dead during the student protests in Soweto on 16 June 1976, illuminates the role of Sowetan…",South Africa,Africa
Maropeng,"Partly housed in a building that looks like a giant grassy mound on one side and shiny modern steel on the other, Maropeng is an all-in-one information…",South Africa,Africa
Constitutional Court,"Inaugurated in 2004, with its design based on the African concept of 'justice under a tree', the Constitutional Court is a very real symbol of modern…",South Africa,Africa
Guga S’Thebe Arts & Cultural Centre,"Decorated with polychromatic ceramic murals, this is one of the most impressive buildings in the townships – even more so now that it has a theatre,…",South Africa,Africa
Workshop Ko Kasi,"Serving both as a community centre and a much-needed tourist draw, Ko Kasi is a must-stop if you're passing through Kuruman. Started by two local…",South Africa,Africa
Avondale,"This quiet spot in a gracious old homestead serves delectable, organically made wines. The formal tasting takes around an hour, or you can join a two-hour…",South Africa,Africa
Liliesleaf Farm,A highlight of Jo'burg's northern suburbs is Liliesleaf Farm. This was the secret headquarters of the ANC (African National Congress) from 1961 until a…,South Africa,Africa
Irma Stern Museum,"The pioneering 20th-century artist Irma Stern (1894–1966), whose works are some of the most sought-after among modern South African painters, occupied…",South Africa,Africa
Klein Constantia,"Part of Simon van der Stel's original Constantia estate, Klein Constantia is famous for its Vin de Constance, a sweet muscat wine. It was Napoleon’s…",South Africa,Africa
June 16 Memorial Acre,Opposite one of the schools from which students marched on 16 June 1976 is this stunning open-air memorial to the bloody events that presaged the Soweto…,South Africa,Africa
Langa Pass Museum,"Step inside a grim apartheid relic at Langa's old pass office, where black people had to present their identity cards, and the attached court, where they…",South Africa,Africa
KwaZulu-Natal Museum,"This impressive museum has a range of well-curated displays reflecting a diversity of cultures, including settler history, war records, stuffed birds and…",South Africa,Africa
Elephant Hall Museum,"Even if you're not staying at Letaba Rest Camp, it's worth swinging by to check out this excellent museum. It has life-size skeletons and dozens of…",South Africa,Africa
Viljoensdrift,"One of Robertson’s most popular places to sip, especially on weekends. Put together a picnic from the deli, buy a bottle from the cellar door and taste on…",South Africa,Africa
Nelson Mandela Museum,Set aside at least two hours for this inspiring museum right in the centre. It offers visitors a fascinating journey through the life of Nelson Mandela…,South Africa,Africa
Constantia Glen,"There's a sweeping view of the vineyards from the terrace in front of the tasting room at this boutique winery, which is known for its sauvignon blanc and…",South Africa,Africa
Vergelegen,Simon van der Stel’s son Willem first planted vines here in 1700. The buildings and elegant grounds have ravishing mountain views and a ‘stately home’…,South Africa,Africa
Voortrekker Monument,"The imposing, art-deco-style Voortrekker Monument was constructed between 1938 and 1949 to honour the journey of the Voortrekkers, who journeyed north…",South Africa,Africa
Moses Mabhida Stadium,"Durbanites are proud of their state-of-the-art stadium, constructed for the 2010 World Cup. Resembling a giant basket, it seats 56,000 people, and its…",South Africa,Africa
uShaka Marine World,"Divided into areas including Sea World and Wet’n’Wild, uShaka Marine World boasts one of the largest aquariums in the world, the biggest collection of…",South Africa,Africa
Bo-Kaap,"Meaning ‘Upper Cape’, the Bo-Kaap, with its vividly painted low-roofed houses, many of them historic monuments, strung along narrow cobbled streets, is…",South Africa,Africa
Genadendal Mission Station,"Some 6km west of Greyton is Genadendal, the oldest mission station in South Africa, founded in 1738 and for a brief time the largest settlement in the…",South Africa,Africa
Dias Museum Complex,This excellent museum offers insight into Mossel Bay's role as an early stomping ground for European sailors. Named for 15th-century Portuguese explorer…,South Africa,Africa
Company’s Garden,"These shady green gardens, which started as the vegetable patch for the Dutch East India Company, are a lovely place to relax. They are planted with a…",South Africa,Africa
Campbell Collections,"These collections are well worth seeing. Muckleneuk, a superb house designed by Sir Herbert Baker, holds the documents and artefacts collected by Dr…",South Africa,Africa
Tatham Art Gallery,"In keeping with Pietermaritzburg’s self-styled role as a heritage city, one of its finest sights, the art gallery, was started in 1903 by Mrs Ada Tatham…",South Africa,Africa
Nelson Mandela Capture Site,"On 5 August 1962, Nelson Rolihlahla Mandela was captured by apartheid police on the R103 outside of Howick. This would mark the start of his 27 years of…",South Africa,Africa
Rietvlei Nature Reserve,"This 38-sq-km reserve, 27km south of Pretoria, off Rte 21, is popular with locals who come for fishing in the dam, but is also great for wildlife viewing…",South Africa,Africa
Durban Botanic Gardens,"A 2000-sq-metre garden featuring one of the rarest cycads (Encephalartos woodii), as well as many species of bromeliad, this is a lovely place to wander…",South Africa,Africa
Phansi Museum,"Found southwest of the city centre, this museum features a private collection of Southern African tribal artefacts, displayed in Roberts House, a…",South Africa,Africa
Stanford Hills,Taste the Jacksons pinotage here – a fine example of South Africa’s home-grown grape variety. There’s also charming self-catering accommodation available …,South Africa,Africa
Warwick Estate,"Warwick’s red wines are legendary, particularly its Bordeaux blends. The winery offers an informative Big Five wine safari (referring to grape varieties,…",South Africa,Africa
Table Mountain National Park,"Stretching from Signal Hill to Cape Point, this 220-sq-km park is a natural wonder, its range of environments including granite and sandstone mountains,…",South Africa,Africa
Kgalagadi Transfrontier Park,"Welcome to the African safari of your childhood daydreams. Packs of entertaining meerkats scurry across the sand, antelopes wander the dry river beds…",South Africa,Africa
Sabi Sand Game Reserve,Within the borders of the large Sabi Sand Game Reserve are some of Southern Africa’s most luxurious safari lodges and the best wildlife watching on the…,South Africa,Africa
Marakele National Park,"This mountainous national park is at the southwest end of the Waterberg biosphere. The animals grazing beneath the red cliffs include the Big Five, as…",South Africa,Africa
Camdeboo National Park,Camdeboo National Park covers an area of 194 sq km and almost completely surrounds the town of Graaff-Reinet. There are plenty of animals including…,South Africa,Africa
Garden Route National Park (Tsitsikamma Section),"Cut through by dark, coffee-coloured churning rivers, deep ravines and dense forests, the Tsitsikamma section of the Garden Route National Park…",South Africa,Africa
Swartberg Nature Reserve,"The main attraction in the Swartberg Nature Reserve is Gamkaskloof, a narrow valley better known as Die Hel. One of the most remote settlements in the…",South Africa,Africa
Addo Elephant National Park,"Located 70km north of Port Elizabeth, South Africa's third-largest national park protects the remnants of the huge elephant herds that once roamed the…",South Africa,Africa
Augrabies Falls National Park,The centrepiece of this park is the 56m-high waterfall created when the Gariep (Orange) River thunders through a ravine. The nearby Bridal Veil Falls drop…,South Africa,Africa
Talana Heritage Park & Battlefield,Talana means ‘the shelf where precious items are stored’ – strangely appropriate for this excellent battlefield site turned heritage park. There are…,South Africa,Africa
World of Birds,"Barbets, weavers and flamingos are among the 3000 birds and small mammals – covering some 400 different species – at Africa's largest bird park. A real…",South Africa,Africa
|Ai-|Ais/Richtersveld Transfrontier Park,South Africa’s remotest national park presents a barren but undeniably striking landscape filled with weird rock formations and sandy moonscapes dotted…,South Africa,Africa
Kapama Private Game Reserve,"With four luxury lodges and the Big Five in residence (as well as occasional passing wild dogs and great birding), 13,000-hectare Kapama gets all of the…",South Africa,Africa
Ponte City,"Nothing sums up the changing fortunes of inner-city Jo'burg better than Ponte City, which can be visited on tours with Dlala Nje. This 54-storey…",South Africa,Africa
De Hoop Nature Reserve,"Covering 340 sq km and extending 5km out to sea, this reserve has a magnificent coastline, with long stretches of pristine beach and huge dunes. It’s an…",South Africa,Africa
Timbavati Private Nature Reserve,"Timbavati abuts Kruger National Park's western boundary and has an excellent mix of wildlife, conservation and good accommodation. Its accommodation…",South Africa,Africa
Hottentots Holland Nature Reserve,"This mountainous and forested reserve stretches from Jonkershoek in the west to Villiersdorp in the east, skirting the Theewaterskloof Dam. There are day…",South Africa,Africa
